city,country,Gender,Date,Card Type,Exp Type,amount,day_name,holiday_name,holiday_type
"Greater Mumbai"," India",Male,2013-10-30,Platinum,Bills,292254,Wednesday,,
Ahmedabad," India",Male,2014-03-19,Platinum,Entertainment,153381,Wednesday,,
Bengaluru," India",Male,2013-11-13,Platinum,Entertainment,135802,Wednesday,,
Bengaluru," India",Male,2014-01-26,Silver,Fuel,166095,"Sunday   ","Republic Day","Gazetted Holiday"
Bengaluru," India",Female,2015-04-18,Silver,Entertainment,229171,"Saturday ",,
Bengaluru," India",Female,2014-04-01,Platinum,Bills,174903,"Tuesday  ",,
Delhi," India",Male,2015-02-17,Platinum,Grocery,271025,"Tuesday  ","Maha Shivaratri/Shivaratri","Gazetted Holiday"
Bengaluru," India",Male,2014-05-25,Silver,Fuel,97640,"Sunday   ",,
Bengaluru," India",Female,2014-07-04,Platinum,Fuel,15705,"Friday   ",,
Bengaluru," India",Male,2015-02-05,Gold,Fuel,11843,"Thursday ",,
"Greater Mumbai"," India",Female,2015-05-13,Silver,Fuel,185757,Wednesday,,
Ahmedabad," India",Male,2015-03-27,Silver,Grocery,114368,"Friday   ",,
Delhi," India",Male,2015-02-18,Signature,Food,122640,Wednesday,,
Bengaluru," India",Male,2014-06-17,Silver,Food,66140,"Tuesday  ",,
Ahmedabad," India",Female,2014-11-13,Gold,Entertainment,229405,"Thursday ",,
Ahmedabad," India",Female,2014-11-29,Platinum,Bills,138144,"Saturday ",,
Delhi," India",Male,2015-05-06,Silver,Bills,19898,Wednesday,,
Bengaluru," India",Male,2014-11-06,Signature,Food,173112,"Thursday ","Guru Nanak Jayanti","Gazetted Holiday"
Ahmedabad," India",Male,2014-10-17,Signature,Grocery,230915,"Friday   ",,
"Greater Mumbai"," India",Female,2015-05-07,Silver,Fuel,249834,"Thursday ",,
Bengaluru," India",Female,2014-10-10,Gold,Fuel,59467,"Friday   ",,
"Greater Mumbai"," India",Female,2015-02-11,Silver,Food,95693,Wednesday,,
Delhi," India",Male,2014-06-03,Signature,Fuel,286502,"Tuesday  ",,
"Greater Mumbai"," India",Female,2014-02-12,Gold,Bills,270441,Wednesday,,
Bengaluru," India",Male,2015-04-07,Platinum,Food,142744,"Tuesday  ",,
"Greater Mumbai"," India",Female,2013-10-20,Silver,Entertainment,214937,"Sunday   ",,
Ahmedabad," India",Male,2015-02-18,Silver,Fuel,290774,Wednesday,,
Ahmedabad," India",Male,2015-02-18,Gold,Fuel,148893,Wednesday,,
Bengaluru," India",Female,2013-10-17,Platinum,Entertainment,249888,"Thursday ",,
Delhi," India",Male,2013-11-15,Gold,Food,120278,"Friday   ",,
Bengaluru," India",Male,2014-06-15,Gold,Grocery,103135,"Sunday   ","Father’s Day",Observance
Ahmedabad," India",Female,2013-12-23,Platinum,Entertainment,61507,"Monday   ",,
Bengaluru," India",Male,2013-11-26,Signature,Entertainment,173357,"Tuesday  ",,
Delhi," India",Male,2014-08-18,Silver,Bills,195173,"Monday   ","Parsi New Year","Restricted Holiday"
Delhi," India",Male,2014-08-18,Silver,Bills,195173,"Monday   ",Janmashtami,"Gazetted Holiday"
Ahmedabad," India",Female,2013-10-07,Platinum,Food,130267,"Monday   ",,
"Greater Mumbai"," India",Male,2014-07-03,Gold,Bills,186454,"Thursday ",,
Ahmedabad," India",Male,2014-05-13,Gold,Entertainment,145010,"Tuesday  ","Hazarat Ali's Birthday","Restricted Holiday"
Delhi," India",Female,2013-12-19,Silver,Entertainment,113145,"Thursday ",,
"Greater Mumbai"," India",Male,2014-04-26,Signature,Food,44748,"Saturday ",,
Bengaluru," India",Female,2014-06-10,Signature,Grocery,129152,"Tuesday  ",,
Delhi," India",Male,2015-03-08,Signature,Entertainment,43220,"Sunday   ",,
Ahmedabad," India",Female,2014-08-23,Silver,Entertainment,208138,"Saturday ",,
Delhi," India",Male,2015-05-06,Silver,Food,183405,Wednesday,,
Ahmedabad," India",Male,2015-05-24,Silver,Entertainment,163978,"Sunday   ",,
Ahmedabad," India",Female,2014-10-23,Platinum,Entertainment,72602,"Thursday ",Diwali/Deepavali,"Gazetted Holiday"
Bengaluru," India",Female,2015-02-11,Signature,Fuel,206125,Wednesday,,
Bengaluru," India",Male,2014-09-08,Signature,Food,173224,"Monday   ",,
"Greater Mumbai"," India",Female,2013-10-24,Gold,Fuel,224271,"Thursday ",,
Delhi," India",Female,2013-10-10,Signature,Fuel,19918,"Thursday ","First Day of Durga Puja Festivities","Observance, Hinduism"
Ahmedabad," India",Male,2015-03-12,Silver,Fuel,240390,"Thursday ",,
Ahmedabad," India",Female,2015-04-10,Gold,Entertainment,232716,"Friday   ",,
Bengaluru," India",Male,2014-02-23,Silver,Grocery,34091,"Sunday   ",,
"Greater Mumbai"," India",Female,2014-03-16,Signature,Bills,249077,"Sunday   ","Holika Dahana","Restricted Holiday"
"Greater Mumbai"," India",Male,2015-04-11,Platinum,Bills,178290,"Saturday ",,
Ahmedabad," India",Female,2014-08-10,Signature,Entertainment,100620,"Sunday   ","Raksha Bandhan (Rakhi)","Restricted Holiday"
Ahmedabad," India",Male,2014-02-23,Platinum,Grocery,193873,"Sunday   ",,
Bengaluru," India",Female,2015-01-18,Platinum,Grocery,221231,"Sunday   ",,
Delhi," India",Female,2013-10-29,Platinum,Grocery,63112,"Tuesday  ",,
Delhi," India",Male,2015-04-05,Platinum,Bills,92786,"Sunday   ","Easter Day","Restricted Holiday"
Ahmedabad," India",Female,2014-12-09,Silver,Grocery,242712,"Tuesday  ",,
Delhi," India",Male,2014-03-08,Silver,Bills,33966,"Saturday ",,
Delhi," India",Male,2014-03-10,Gold,Fuel,292609,"Monday   ",,
Ahmedabad," India",Male,2014-07-16,Platinum,Food,219971,Wednesday,,
Delhi," India",Male,2015-02-25,Signature,Food,27357,Wednesday,,
Ahmedabad," India",Male,2014-06-11,Signature,Entertainment,146609,Wednesday,,
Ahmedabad," India",Female,2014-05-11,Signature,Fuel,102672,"Sunday   ","Mother’s Day",Observance
"Greater Mumbai"," India",Female,2014-02-07,Gold,Entertainment,73649,"Friday   ",,
Delhi," India",Male,2014-09-28,Signature,Food,206705,"Sunday   ",,
Delhi," India",Male,2014-04-03,Gold,Bills,161024,"Thursday ",,
"Greater Mumbai"," India",Male,2015-02-14,Signature,Bills,219095,"Saturday ","Valentine's Day",Observance
"Greater Mumbai"," India",Male,2015-02-14,Signature,Bills,219095,"Saturday ","Maharishi Dayanand Saraswati Jayanti","Restricted Holiday"
"Greater Mumbai"," India",Female,2014-02-11,Platinum,Bills,91393,"Tuesday  ",,
"Greater Mumbai"," India",Male,2014-09-19,Gold,Food,193390,"Friday   ",,
Bengaluru," India",Female,2014-03-29,Signature,Entertainment,241544,"Saturday ",,
Ahmedabad," India",Female,2013-10-27,Signature,Bills,130641,"Sunday   ",,
Delhi," India",Male,2015-04-29,Gold,Food,211878,Wednesday,,
Ahmedabad," India",Male,2014-02-02,Silver,Food,20870,"Sunday   ",,
Ahmedabad," India",Male,2015-04-08,Platinum,Grocery,292636,Wednesday,,
Delhi," India",Male,2013-12-22,Gold,Fuel,24565,"Sunday   ",,
Ahmedabad," India",Female,2013-11-22,Gold,Grocery,14205,"Friday   ",,
"Greater Mumbai"," India",Female,2014-02-17,Platinum,Entertainment,141251,"Monday   ",,
Delhi," India",Male,2015-04-11,Gold,Grocery,170469,"Saturday ",,
Ahmedabad," India",Male,2015-05-01,Gold,Food,9087,"Friday   ","International Worker's Day",Observance
"Greater Mumbai"," India",Female,2014-08-31,Silver,Bills,41578,"Sunday   ",,
Ahmedabad," India",Male,2013-11-27,Platinum,Bills,98404,Wednesday,,
Delhi," India",Male,2014-11-12,Gold,Fuel,114361,Wednesday,,
Delhi," India",Male,2015-01-06,Signature,Entertainment,241498,"Tuesday  ",,
Delhi," India",Female,2014-12-08,Silver,Food,53005,"Monday   ",,
"Greater Mumbai"," India",Female,2013-12-19,Gold,Bills,44121,"Thursday ",,
"Greater Mumbai"," India",Male,2014-04-03,Signature,Fuel,32203,"Thursday ",,
Ahmedabad," India",Female,2014-08-15,Signature,Entertainment,196514,"Friday   ","Independence Day","Gazetted Holiday"
"Greater Mumbai"," India",Female,2014-06-21,Signature,Bills,192395,"Saturday ","June Solstice",Season
Delhi," India",Male,2015-01-19,Silver,Entertainment,131409,"Monday   ",,
"Greater Mumbai"," India",Male,2014-09-01,Silver,Fuel,184484,"Monday   ",,
"Greater Mumbai"," India",Female,2014-10-01,Gold,Fuel,41107,Wednesday,"Maha Saptami","Restricted Holiday"
Delhi," India",Male,2015-02-16,Gold,Bills,48145,"Monday   ",,
Bengaluru," India",Male,2015-03-29,Platinum,Bills,147937,"Sunday   ",,
Delhi," India",Male,2015-05-13,Silver,Food,157207,Wednesday,,
Delhi," India",Male,2015-04-20,Signature,Food,239931,"Monday   ",,
"Greater Mumbai"," India",Female,2014-03-02,Platinum,Fuel,230426,"Sunday   ",,
Ahmedabad," India",Female,2014-08-16,Gold,Food,133648,"Saturday ",,
Ahmedabad," India",Male,2014-02-24,Silver,Fuel,125673,"Monday   ","Maharishi Dayanand Saraswati Jayanti","Restricted Holiday"
Bengaluru," India",Female,2014-11-28,Platinum,Bills,143800,"Friday   ",,
Bengaluru," India",Female,2013-12-26,Gold,Bills,44998,"Thursday ",,
Ahmedabad," India",Male,2015-01-06,Silver,Bills,88762,"Tuesday  ",,
Delhi," India",Male,2014-04-06,Platinum,Fuel,181268,"Sunday   ",,
Ahmedabad," India",Male,2014-05-20,Signature,Entertainment,80907,"Tuesday  ",,
Bengaluru," India",Male,2013-12-23,Signature,Bills,224676,"Monday   ",,
Delhi," India",Male,2014-10-25,Gold,Food,26176,"Saturday ","Bhai Duj","Restricted Holiday"
Bengaluru," India",Female,2014-01-09,Platinum,Food,39124,"Thursday ",,
"Greater Mumbai"," India",Female,2014-06-14,Platinum,Fuel,37510,"Saturday ",,
"Greater Mumbai"," India",Female,2014-07-22,Signature,Bills,247001,"Tuesday  ",,
Delhi," India",Female,2014-12-10,Silver,Grocery,167672,Wednesday,,
Ahmedabad," India",Female,2014-10-22,Signature,Grocery,152551,Wednesday,"Naraka Chaturdasi","Restricted Holiday"
Bengaluru," India",Female,2015-01-10,Signature,Food,40295,"Saturday ",,
Bengaluru," India",Female,2014-03-16,Platinum,Food,88471,"Sunday   ","Holika Dahana","Restricted Holiday"
Bengaluru," India",Female,2015-01-07,Gold,Grocery,297063,Wednesday,,
Ahmedabad," India",Female,2014-09-16,Platinum,Bills,12125,"Tuesday  ",,
Bengaluru," India",Male,2014-01-04,Signature,Fuel,130942,"Saturday ",,
Delhi," India",Male,2014-09-12,Signature,Entertainment,191863,"Friday   ",,
"Greater Mumbai"," India",Male,2015-03-11,Silver,Grocery,143893,Wednesday,,
Ahmedabad," India",Male,2014-09-05,Gold,Grocery,220653,"Friday   ",,
Ahmedabad," India",Female,2013-12-10,Platinum,Food,102005,"Tuesday  ",,
"Greater Mumbai"," India",Female,2015-03-11,Silver,Grocery,217325,Wednesday,,
Ahmedabad," India",Male,2014-06-08,Gold,Bills,72226,"Sunday   ",,
Bengaluru," India",Female,2014-03-17,Signature,Fuel,37489,"Monday   ",Holi,"Restricted Holiday"
Ahmedabad," India",Female,2014-10-12,Silver,Grocery,273138,"Sunday   ",,
Bengaluru," India",Male,2014-08-28,Gold,Entertainment,190335,"Thursday ",,
"Greater Mumbai"," India",Female,2014-12-07,Signature,Food,108907,"Sunday   ",,
Bengaluru," India",Female,2014-02-09,Platinum,Fuel,213169,"Sunday   ",,
Delhi," India",Male,2014-06-15,Silver,Fuel,50610,"Sunday   ","Father’s Day",Observance
Bengaluru," India",Male,2015-04-30,Silver,Food,51055,"Thursday ",,
Ahmedabad," India",Male,2014-07-19,Gold,Fuel,166212,"Saturday ",,
Delhi," India",Male,2014-03-14,Platinum,Fuel,188951,"Friday   ",,
Ahmedabad," India",Male,2014-07-23,Silver,Fuel,197977,Wednesday,,
Ahmedabad," India",Male,2014-10-24,Platinum,Grocery,173957,"Friday   ","Govardhan Puja","Restricted Holiday"
Delhi," India",Male,2015-03-28,Signature,Fuel,150801,"Saturday ","Rama Navami","Gazetted Holiday"
Delhi," India",Female,2014-09-20,Signature,Grocery,207165,"Saturday ",,
Bengaluru," India",Male,2015-03-01,Signature,Bills,115946,"Sunday   ",,
Bengaluru," India",Male,2014-05-02,Signature,Fuel,281939,"Friday   ",,
Delhi," India",Female,2015-02-23,Platinum,Bills,164903,"Monday   ",,
Delhi," India",Female,2015-02-19,Silver,Bills,241481,"Thursday ","Lunar New Year",Observance
Delhi," India",Female,2015-02-19,Silver,Bills,241481,"Thursday ","Shivaji Jayanti","Restricted Holiday"
"Greater Mumbai"," India",Male,2015-01-24,Platinum,Food,203926,"Saturday ","Vasant Panchami","Restricted Holiday"
Ahmedabad," India",Female,2014-08-08,Signature,Grocery,239328,"Friday   ",,
Delhi," India",Female,2014-12-24,Signature,Bills,169384,Wednesday,"Christmas Eve","Restricted Holiday"
Delhi," India",Female,2014-12-24,Signature,Bills,169384,Wednesday,"Last day of Hanukkah",Observance
"Greater Mumbai"," India",Male,2014-11-24,Silver,Grocery,108321,"Monday   ","Guru Tegh Bahadur's Martyrdom Day","Restricted Holiday"
Delhi," India",Male,2014-06-27,Silver,Grocery,186117,"Friday   ",,
Bengaluru," India",Female,2015-01-31,Platinum,Bills,168268,"Saturday ",,
Ahmedabad," India",Male,2014-01-13,Gold,Fuel,61529,"Monday   ",,
"Greater Mumbai"," India",Male,2013-11-18,Signature,Grocery,6593,"Monday   ",,
Delhi," India",Female,2014-02-02,Signature,Fuel,247327,"Sunday   ",,
Bengaluru," India",Male,2014-04-07,Silver,Food,249391,"Monday   ",,
"Greater Mumbai"," India",Male,2015-01-07,Signature,Fuel,163813,Wednesday,,
Delhi," India",Male,2014-06-13,Gold,Grocery,142667,"Friday   ",,
Bengaluru," India",Male,2013-12-02,Platinum,Fuel,129549,"Monday   ",,
Delhi," India",Female,2013-12-07,Platinum,Food,274786,"Saturday ",,
"Greater Mumbai"," India",Female,2015-03-23,Signature,Entertainment,172444,"Monday   ",,
Ahmedabad," India",Male,2014-04-17,Gold,Food,53934,"Thursday ","Maundy Thursday","Observance, Christian"
Bengaluru," India",Female,2014-09-06,Signature,Grocery,260751,"Saturday ",Onam,"Restricted Holiday"
Ahmedabad," India",Female,2014-08-18,Silver,Fuel,133027,"Monday   ","Parsi New Year","Restricted Holiday"
Ahmedabad," India",Female,2014-08-18,Silver,Fuel,133027,"Monday   ",Janmashtami,"Gazetted Holiday"
Bengaluru," India",Female,2015-01-09,Platinum,Bills,184915,"Friday   ",,
Delhi," India",Male,2015-01-04,Signature,Grocery,234569,"Sunday   ","Milad un-Nabi","Gazetted Holiday"
"Greater Mumbai"," India",Female,2015-03-25,Signature,Bills,157971,Wednesday,,
Bengaluru," India",Female,2013-11-06,Silver,Fuel,280870,Wednesday,,
Delhi," India",Female,2014-04-03,Silver,Bills,176785,"Thursday ",,
Bengaluru," India",Male,2014-05-10,Gold,Fuel,76781,"Saturday ",,
Bengaluru," India",Male,2014-04-02,Signature,Entertainment,280054,Wednesday,,
Bengaluru," India",Female,2014-03-22,Silver,Food,27234,"Saturday ",,
Ahmedabad," India",Female,2014-02-27,Signature,Grocery,11078,"Thursday ","Maha Shivaratri/Shivaratri","Gazetted Holiday"
"Greater Mumbai"," India",Male,2014-08-20,Gold,Fuel,36127,Wednesday,,
"Greater Mumbai"," India",Male,2014-10-04,Signature,Food,223623,"Saturday ",,
"Greater Mumbai"," India",Female,2014-01-09,Signature,Grocery,26890,"Thursday ",,
"Greater Mumbai"," India",Male,2014-01-03,Gold,Grocery,105181,"Friday   ",,
Bengaluru," India",Male,2013-12-21,Signature,Grocery,42867,"Saturday ","December Solstice",Season
Bengaluru," India",Female,2014-11-30,Gold,Grocery,151535,"Sunday   ",,
"Greater Mumbai"," India",Female,2013-10-09,Platinum,Fuel,278582,Wednesday,,
Ahmedabad," India",Male,2015-05-22,Platinum,Fuel,133372,"Friday   ",,
Delhi," India",Male,2014-05-06,Signature,Grocery,57585,"Tuesday  ",,
"Greater Mumbai"," India",Female,2014-06-14,Gold,Bills,156138,"Saturday ",,
Delhi," India",Male,2013-12-02,Silver,Bills,75764,"Monday   ",,
"Greater Mumbai"," India",Female,2014-10-16,Silver,Fuel,28176,"Thursday ",,
"Greater Mumbai"," India",Male,2014-02-03,Platinum,Entertainment,217322,"Monday   ",,
Delhi," India",Female,2014-01-09,Silver,Food,95261,"Thursday ",,
Ahmedabad," India",Female,2014-12-03,Gold,Bills,222804,Wednesday,,
Delhi," India",Male,2014-08-20,Silver,Food,154942,Wednesday,,
Ahmedabad," India",Male,2014-08-11,Platinum,Grocery,185278,"Monday   ",,
Delhi," India",Male,2013-10-10,Platinum,Entertainment,259740,"Thursday ","First Day of Durga Puja Festivities","Observance, Hinduism"
Delhi," India",Male,2014-09-24,Signature,Bills,32612,Wednesday,,
Ahmedabad," India",Male,2015-03-14,Silver,Entertainment,223319,"Saturday ",,
Bengaluru," India",Male,2014-05-29,Signature,Bills,239241,"Thursday ",,
Delhi," India",Male,2015-04-13,Silver,Entertainment,133201,"Monday   ",,
Delhi," India",Male,2015-01-08,Silver,Bills,270969,"Thursday ",,
Delhi," India",Male,2014-08-31,Signature,Grocery,171879,"Sunday   ",,
Bengaluru," India",Female,2013-11-21,Signature,Bills,71967,"Thursday ",,
Bengaluru," India",Female,2014-10-13,Gold,Bills,86680,"Monday   ",,
Delhi," India",Male,2013-12-10,Silver,Grocery,139475,"Tuesday  ",,
Bengaluru," India",Female,2014-10-29,Gold,Grocery,61654,Wednesday,"Chhat Puja (Pratihar Sashthi/Surya Sashthi)","Restricted Holiday"
Delhi," India",Female,2014-09-11,Silver,Grocery,29685,"Thursday ",,
Delhi," India",Female,2013-11-10,Platinum,Entertainment,51185,"Sunday   ",,
"Greater Mumbai"," India",Male,2014-03-28,Silver,Fuel,42681,"Friday   ",,
Bengaluru," India",Female,2014-10-27,Signature,Entertainment,126112,"Monday   ",,
Delhi," India",Male,2015-04-04,Gold,Bills,140317,"Saturday ","First day of Passover",Observance
Bengaluru," India",Female,2014-10-29,Platinum,Fuel,92115,Wednesday,"Chhat Puja (Pratihar Sashthi/Surya Sashthi)","Restricted Holiday"
Delhi," India",Male,2014-02-02,Silver,Food,17683,"Sunday   ",,
Bengaluru," India",Female,2015-02-22,Silver,Food,29142,"Sunday   ",,
Bengaluru," India",Female,2015-01-24,Silver,Food,290383,"Saturday ","Vasant Panchami","Restricted Holiday"
Delhi," India",Female,2013-10-09,Gold,Fuel,299642,Wednesday,,
Ahmedabad," India",Female,2013-10-20,Signature,Bills,99631,"Sunday   ",,
Delhi," India",Male,2015-01-17,Gold,Entertainment,125123,"Saturday ",,
Ahmedabad," India",Female,2014-07-19,Gold,Food,187763,"Saturday ",,
"Greater Mumbai"," India",Male,2013-12-28,Gold,Bills,248970,"Saturday ",,
Bengaluru," India",Male,2015-02-11,Platinum,Bills,34867,Wednesday,,
Ahmedabad," India",Female,2014-07-13,Platinum,Grocery,224138,"Sunday   ",,
Delhi," India",Male,2014-11-24,Silver,Bills,104689,"Monday   ","Guru Tegh Bahadur's Martyrdom Day","Restricted Holiday"
Bengaluru," India",Female,2013-10-08,Signature,Bills,76267,"Tuesday  ",,
Ahmedabad," India",Female,2014-02-02,Signature,Fuel,291636,"Sunday   ",,
Bengaluru," India",Female,2014-05-22,Signature,Grocery,255384,"Thursday ",,
Ahmedabad," India",Male,2015-05-04,Gold,Fuel,79296,"Monday   ","Buddha Purnima/Vesak","Gazetted Holiday"
Ahmedabad," India",Female,2014-10-07,Platinum,Entertainment,185050,"Tuesday  ",,
"Greater Mumbai"," India",Female,2015-01-06,Signature,Entertainment,275315,"Tuesday  ",,
"Greater Mumbai"," India",Male,2013-10-19,Platinum,Entertainment,191660,"Saturday ",,
"Greater Mumbai"," India",Female,2014-01-25,Signature,Food,198805,"Saturday ",,
Bengaluru," India",Female,2014-08-17,Signature,Food,286474,"Sunday   ","Janmashtami (Smarta)",Observance
"Greater Mumbai"," India",Female,2014-01-16,Signature,Food,153044,"Thursday ",,
"Greater Mumbai"," India",Male,2014-08-30,Platinum,Bills,169787,"Saturday ",,
Delhi," India",Female,2015-04-20,Silver,Entertainment,150141,"Monday   ",,
Ahmedabad," India",Male,2014-03-15,Signature,Entertainment,115464,"Saturday ",,
"Greater Mumbai"," India",Female,2015-03-13,Signature,Bills,272039,"Friday   ",,
"Greater Mumbai"," India",Female,2015-02-07,Platinum,Grocery,217841,"Saturday ",,
Delhi," India",Male,2014-05-15,Platinum,Bills,174421,"Thursday ",,
"Greater Mumbai"," India",Male,2014-10-31,Silver,Grocery,280490,"Friday   ",Halloween,Observance
"Greater Mumbai"," India",Female,2013-11-22,Silver,Bills,128746,"Friday   ",,
"Greater Mumbai"," India",Female,2014-12-19,Platinum,Food,80189,"Friday   ",,
Bengaluru," India",Male,2013-12-17,Silver,Grocery,237114,"Tuesday  ",,
Bengaluru," India",Male,2014-08-10,Silver,Bills,41993,"Sunday   ","Raksha Bandhan (Rakhi)","Restricted Holiday"
Bengaluru," India",Male,2014-03-05,Silver,Fuel,150636,Wednesday,,
"Greater Mumbai"," India",Male,2014-09-21,Silver,Bills,245265,"Sunday   ",,
Ahmedabad," India",Male,2014-07-17,Platinum,Fuel,291025,"Thursday ",,
Bengaluru," India",Male,2015-02-21,Signature,Entertainment,170597,"Saturday ",,
Ahmedabad," India",Male,2014-01-27,Silver,Bills,77118,"Monday   ",,
Bengaluru," India",Male,2014-04-22,Signature,Fuel,291274,"Tuesday  ",,
Ahmedabad," India",Female,2013-11-24,Silver,Entertainment,15392,"Sunday   ","Guru Tegh Bahadur's Martyrdom Day","Restricted Holiday"
Ahmedabad," India",Male,2014-08-10,Platinum,Entertainment,5468,"Sunday   ","Raksha Bandhan (Rakhi)","Restricted Holiday"
"Greater Mumbai"," India",Male,2014-10-30,Gold,Fuel,23665,"Thursday ",,
"Greater Mumbai"," India",Male,2014-07-08,Silver,Bills,145141,"Tuesday  ",,
Bengaluru," India",Male,2015-04-23,Silver,Food,218195,"Thursday ",,
Ahmedabad," India",Female,2014-10-10,Silver,Entertainment,121736,"Friday   ",,
Delhi," India",Female,2015-05-23,Silver,Fuel,180461,"Saturday ",,
Bengaluru," India",Male,2013-10-30,Gold,Grocery,57447,Wednesday,,
Ahmedabad," India",Male,2014-02-04,Silver,Entertainment,180235,"Tuesday  ","Vasant Panchami","Restricted Holiday"
"Greater Mumbai"," India",Female,2015-02-02,Gold,Entertainment,93930,"Monday   ",,
"Greater Mumbai"," India",Male,2013-12-29,Gold,Grocery,163867,"Sunday   ",,
Bengaluru," India",Female,2013-12-29,Silver,Bills,19575,"Sunday   ",,
Ahmedabad," India",Female,2014-07-21,Silver,Bills,289970,"Monday   ",,
Ahmedabad," India",Female,2014-12-25,Gold,Food,112482,"Thursday ",Christmas,"Gazetted Holiday"
Ahmedabad," India",Female,2014-08-18,Silver,Entertainment,298417,"Monday   ","Parsi New Year","Restricted Holiday"
Ahmedabad," India",Female,2014-08-18,Silver,Entertainment,298417,"Monday   ",Janmashtami,"Gazetted Holiday"
Bengaluru," India",Male,2014-01-14,Signature,Bills,148870,"Tuesday  ","Milad un-Nabi","Gazetted Holiday"
Bengaluru," India",Male,2014-01-14,Signature,Bills,148870,"Tuesday  ","Makar Sankranti","Restricted Holiday"
Bengaluru," India",Male,2014-01-14,Signature,Bills,148870,"Tuesday  ",Pongal,"Restricted Holiday"
"Greater Mumbai"," India",Male,2015-01-04,Gold,Entertainment,119344,"Sunday   ","Milad un-Nabi","Gazetted Holiday"
Bengaluru," India",Female,2014-04-28,Silver,Grocery,62019,"Monday   ",,
"Greater Mumbai"," India",Male,2015-02-11,Platinum,Bills,82913,Wednesday,,
Bengaluru," India",Female,2015-01-10,Signature,Food,117710,"Saturday ",,
Delhi," India",Female,2013-11-20,Gold,Entertainment,210517,Wednesday,,
Ahmedabad," India",Female,2015-01-25,Silver,Food,113890,"Sunday   ",,
Bengaluru," India",Male,2014-08-18,Silver,Entertainment,229737,"Monday   ","Parsi New Year","Restricted Holiday"
Bengaluru," India",Male,2014-08-18,Silver,Entertainment,229737,"Monday   ",Janmashtami,"Gazetted Holiday"
Ahmedabad," India",Female,2015-01-05,Platinum,Entertainment,265791,"Monday   ","Guru Govind Singh Jayanti","Restricted Holiday"
Delhi," India",Female,2015-01-07,Gold,Grocery,130714,Wednesday,,
Ahmedabad," India",Male,2015-02-20,Silver,Food,191165,"Friday   ",,
Bengaluru," India",Female,2015-05-18,Silver,Fuel,119664,"Monday   ",,
"Greater Mumbai"," India",Female,2014-10-08,Platinum,Fuel,231014,Wednesday,,
Delhi," India",Female,2014-03-07,Gold,Bills,76018,"Friday   ",,
Bengaluru," India",Female,2015-01-11,Gold,Entertainment,12766,"Sunday   ",,
"Greater Mumbai"," India",Male,2015-02-09,Gold,Grocery,214247,"Monday   ",,
Bengaluru," India",Female,2014-03-04,Gold,Fuel,7966,"Tuesday  ",,
Delhi," India",Female,2015-01-20,Gold,Food,288805,"Tuesday  ",,
Bengaluru," India",Male,2014-08-14,Platinum,Food,100163,"Thursday ",,
Bengaluru," India",Male,2014-07-17,Signature,Bills,108240,"Thursday ",,
Ahmedabad," India",Male,2013-12-19,Signature,Fuel,118392,"Thursday ",,
Bengaluru," India",Female,2015-01-03,Platinum,Grocery,73263,"Saturday ",,
Delhi," India",Male,2015-02-09,Silver,Bills,138607,"Monday   ",,
Ahmedabad," India",Female,2014-08-20,Signature,Food,283746,Wednesday,,
Bengaluru," India",Female,2015-02-06,Platinum,Bills,177031,"Friday   ",,
Ahmedabad," India",Female,2014-10-06,Silver,Bills,192491,"Monday   ",Bakrid,"Gazetted Holiday"
Ahmedabad," India",Male,2013-12-24,Platinum,Grocery,68065,"Tuesday  ","Christmas Eve","Restricted Holiday"
"Greater Mumbai"," India",Female,2015-04-10,Silver,Entertainment,164033,"Friday   ",,
Ahmedabad," India",Female,2014-11-26,Platinum,Food,281658,Wednesday,,
"Greater Mumbai"," India",Male,2015-01-21,Signature,Entertainment,295463,Wednesday,,
Ahmedabad," India",Female,2014-09-29,Silver,Entertainment,79202,"Monday   ",,
Ahmedabad," India",Female,2013-11-17,Platinum,Food,12951,"Sunday   ","Guru Nanak Jayanti","Gazetted Holiday"
Delhi," India",Male,2013-11-21,Gold,Bills,267374,"Thursday ",,
Ahmedabad," India",Female,2014-10-16,Signature,Grocery,170471,"Thursday ",,
"Greater Mumbai"," India",Male,2014-05-30,Platinum,Fuel,127338,"Friday   ",,
"Greater Mumbai"," India",Female,2014-12-29,Signature,Fuel,116195,"Monday   ",,
Delhi," India",Female,2015-02-08,Gold,Entertainment,137119,"Sunday   ",,
"Greater Mumbai"," India",Female,2014-09-09,Signature,Bills,274492,"Tuesday  ",,
Ahmedabad," India",Female,2014-09-06,Silver,Grocery,268855,"Saturday ",Onam,"Restricted Holiday"
"Greater Mumbai"," India",Female,2014-06-17,Silver,Food,199403,"Tuesday  ",,
"Greater Mumbai"," India",Male,2015-02-15,Gold,Fuel,232373,"Sunday   ",,
Delhi," India",Female,2014-09-18,Platinum,Entertainment,151051,"Thursday ",,
"Greater Mumbai"," India",Male,2014-11-29,Signature,Entertainment,248658,"Saturday ",,
Bengaluru," India",Male,2014-03-07,Platinum,Food,209347,"Friday   ",,
Bengaluru," India",Female,2014-04-29,Signature,Grocery,175732,"Tuesday  ",,
Delhi," India",Male,2015-05-12,Signature,Bills,103433,"Tuesday  ",,
"Greater Mumbai"," India",Female,2014-09-24,Platinum,Entertainment,285341,Wednesday,,
Bengaluru," India",Male,2014-03-11,Platinum,Grocery,125159,"Tuesday  ",,
